"brand","name","price","originalPrice","discount"
"asics","GEL-WINDHAWK 3 Running Shoes For Men","₹2819","₹4699","40% off"
"BRUTON","Combo Pack Of 5 Casual Shoes Canvas Shoes For Men","₹759","₹3999","81% off"
"aadi","Running Shoes For Men","₹318","₹999","68% off"
"ASIAN","WNDR-13 Running Shoes For Men","₹521","₹599","13% off"
"ASIAN","Cosko Sports Shoes Running Shoes Walking Shoes Training...","₹687","₹999","31% off"
"SUSON","Black Gym/Walking/Running Sports Sneakers For Men","₹318","₹999","68% off"
"aadi","Running Shoes For Men","₹379","₹999","62% off"
"BEEROCK","Oxygen Running Shoes For Men","₹471","₹999","52% off"
"aadi","Walking Shoes For Men","₹449","₹1999","77% off"
"PORT","Running Shoes For Men","₹318","₹999","68% off"
"aadi","Sneakers For Men","₹298","₹999","70% off"
"aadi","Casuals For Men","₹474","₹999","52% off"
"ORICUM","Combo pack of 2 casual sneaker shoes for men Sneakers F...","₹378","₹998","62% off"
"BRUTON","Combo Pack Of 4 Canvas Sneakers For Men","₹499","₹3499","85% off"
"Shoes Bank","White Sneaker For Men's/Boy's Sneakers For Men","₹331","₹999","66% off"
"T-ROCK","Loafers For Men","₹449","₹999","55% off"
"ASIAN","Elasto-02 Grey Black Running Shoes For Women","₹774","₹1499","48% off"
"MILESWALKER","Running Shoes For Men","₹318","₹999","68% off"
"Layasa","sports shoes for men | Latest Stylish Casual sneakers f...","₹374","₹999","62% off"
"REEBOK","Reebok Pride TR Training & Gym Shoes For Men","₹2025","₹3599","43% off"
"BEEROCK","Oxygen Running Shoes For Men","₹471","₹999","52% off"
"BEEROCK","Oxygen Running Shoes For Men","₹471","₹999","52% off"
"K ' Footlance","Sports shoes Running partywear gym shoes Running Shoes ...","₹448","₹999","55% off"
"aadi","Mesh Sports Walking Shoes For Men","₹299","₹999","70% off"
"aadi","Walking Shoes For Men","₹426","₹999","57% off"
"ASIAN","Bouncer-01 Running shoes for boys | sports shoes for me...","₹719","₹999","28% off"
"ASIAN","Cosko Sports Shoes Running Shoes Walking Shoes Training...","₹687","₹999","31% off"
"ESSENCE","Casuals For Men","₹468","₹999","53% off"
"aadi","Boots For Men","₹474","₹999","52% off"
"asics","GEL-VENTURE 8 Running Shoes For Men","₹2999","₹4999","40% off"
"SPARX","SD0323G Canvas Shoes For Men","₹630","₹749","15% off"
"Robbie jones","Casual Sneakers Shoes For Men Sneakers For Men","₹399","₹999","60% off"
"bluemaker","casual for men (blue 06) Sneakers For Men","₹474","₹999","52% off"
"ESSENCE","Smart Sneakers For Men","₹449","₹999","55% off"
"MILESWALKER","Stylish Casual Sports Shoe Sneakers For Women Sneakers ...","₹479","₹999","52% off"
"Earton","Combo pack of 2 Men Sports & Running Sports Shoes Walki...","₹498","₹998","50% off"
"GS","Running Shoes Walking Shoes For Men","₹298","₹999","70% off"
"ASIAN","Running Shoes For Men","₹764","₹1299","41% off"
"BRUTON","Men Sports Running Shoes For Men","₹299","₹1299","76% off"
"Skechers","Equalizer 3.0 Walking Shoes For Men","₹2899","₹4999","42% off"